"sub.id" "task.id" "Bas.run1" "Pro.run1" "Rea.run1" "Bas.run2" "Pro.run2" "Rea.run2"
"144" "DMCC5195268" "Stroop" "06-30-2018" "07-12-2018" "07-06-2018" "06-30-2018" "07-12-2018" "07-06-2018"
"145" "DMCC5244053" "Axcpt" "03-06-2021" "04-03-2021" "04-17-2021" "03-06-2021" "04-03-2021" "04-17-2021"
"146" "DMCC5244053" "Cuedts" "03-06-2021" "04-03-2021" "04-17-2021" "03-06-2021" "04-03-2021" "04-17-2021"
"147" "DMCC5244053" "Stern" "03-06-2021" "04-03-2021" "04-17-2021" "03-06-2021" "04-03-2021" "04-17-2021"
"148" "DMCC5244053" "Stroop" "03-06-2021" "04-03-2021" "04-17-2021" "03-06-2021" "04-03-2021" "04-17-2021"
"149" "DMCC5775387" "Axcpt" "07-11-2018" "07-22-2018" "07-13-2018" "07-11-2018" "07-22-2018" "07-13-2018"
"150" "DMCC5775387" "Cuedts" "07-11-2018" "07-22-2018" "07-13-2018" "07-11-2018" "07-22-2018" "07-13-2018"
"151" "DMCC5775387" "Stern" "07-11-2018" "07-22-2018" "07-13-2018" "07-11-2018" "07-22-2018" "07-13-2018"
"152" "DMCC5775387" "Stroop" "07-11-2018" "07-22-2018" "07-13-2018" "07-11-2018" "07-22-2018" "07-13-2018"
"153" "DMCC5820265" "Axcpt" "04-17-2021" "05-02-2021" "05-01-2021" "04-17-2021" "05-02-2021" "05-01-2021"
"154" "DMCC5820265" "Cuedts" "04-17-2021" "05-02-2021" "05-01-2021" "04-17-2021" "05-02-2021" "05-01-2021"
"155" "DMCC5820265" "Stern" "04-17-2021" "05-02-2021" "05-01-2021" "04-17-2021" "05-02-2021" "05-01-2021"
"156" "DMCC5820265" "Stroop" "04-17-2021" "05-02-2021" "05-01-2021" "04-17-2021" "05-02-2021" "05-01-2021"
"157" "DMCC6371570" "Axcpt" "12-13-2018" "12-15-2018" "12-14-2018" "12-13-2018" "12-15-2018" "12-14-2018"
"158" "DMCC6371570" "Cuedts" "12-13-2018" "12-15-2018" "12-14-2018" "12-13-2018" "12-15-2018" "12-14-2018"
"159" "DMCC6371570" "Stern" "12-13-2018" "12-15-2018" "12-14-2018" "12-13-2018" "12-15-2018" "12-14-2018"
"160" "DMCC6371570" "Stroop" "12-13-2018" "12-15-2018" "12-14-2018" "12-13-2018" "12-15-2018" "12-14-2018"
"161" "DMCC6418065" "Axcpt" "11-04-2017" "11-18-2017" "11-20-2017" "11-04-2017" NA "11-20-2017"
"162" "DMCC6418065" "Cuedts" "11-04-2017" "11-18-2017" "11-20-2017" "11-04-2017" "11-18-2017" "11-20-2017"
"163" "DMCC6418065" "Stern" "11-04-2017" "11-18-2017" "11-20-2017" "11-04-2017" "11-18-2017" "11-20-2017"
"164" "DMCC6418065" "Stroop" "11-04-2017" "11-18-2017" "11-20-2017" "11-04-2017" "11-18-2017" "11-20-2017"
"165" "DMCC6484785" "Axcpt" "08-26-2018" "08-31-2018" "09-02-2018" "08-26-2018" "08-31-2018" "09-02-2018"
"166" "DMCC6484785" "Cuedts" "08-26-2018" "08-31-2018" "09-02-2018" "08-26-2018" "08-31-2018" "09-02-2018"
"167" "DMCC6484785" "Stern" "08-26-2018" "08-31-2018" "09-02-2018" "08-26-2018" "08-31-2018" "09-02-2018"
"168" "DMCC6484785" "Stroop" "08-26-2018" "08-31-2018" "09-02-2018" "08-26-2018" "08-31-2018" "09-02-2018"
"169" "DMCC6627478" "Axcpt" "02-03-2019" "02-07-2019" "03-31-2019" "02-03-2019" "02-07-2019" "03-31-2019"
"170" "DMCC6627478" "Cuedts" "02-03-2019" "02-07-2019" "03-31-2019" "02-03-2019" "02-07-2019" "03-31-2019"
"171" "DMCC6627478" "Stern" "02-03-2019" "02-07-2019" "03-31-2019" "02-03-2019" "02-07-2019" "03-31-2019"
"172" "DMCC6627478" "Stroop" "02-03-2019" "02-07-2019" "03-31-2019" "02-03-2019" "02-07-2019" "03-31-2019"
"173" "DMCC6661074" "Axcpt" "04-16-2018" "04-30-2018" "04-29-2018" "04-16-2018" "04-30-2018" "04-29-2018"
"174" "DMCC6661074" "Cuedts" "04-16-2018" "04-30-2018" "04-29-2018" "04-16-2018" "04-30-2018" "04-29-2018"
"175" "DMCC6661074" "Stern" "04-16-2018" "04-30-2018" "04-29-2018" "04-16-2018" "04-30-2018" "04-29-2018"
"176" "DMCC6661074" "Stroop" "04-16-2018" "04-30-2018" "04-29-2018" "04-16-2018" "04-30-2018" "04-29-2018"
"177" "DMCC6671683" "Axcpt" "11-03-2017" "11-10-2017" "11-16-2017" "11-03-2017" "11-10-2017" "11-16-2017"
"178" "DMCC6671683" "Cuedts" "11-03-2017" "11-10-2017" "11-16-2017" "11-03-2017" "11-10-2017" "11-16-2017"
